O_ORDERKEY,O_CUSTKEY,O_ORDERSTATUS,O_TOTALPRICE,O_ORDERDATE,O_ORDERPRIORITY,O_CLERK,O_SHIPPRIORITY,O_COMMENT
4844613,103961,O,237799.34,1997-10-05,2-HIGH,Clerk#000000325,0,ly bold dolphins nag. carefully unusual 
4959526,102500,O,187042.78,1997-09-23,1-URGENT,Clerk#000000916,0,"s nag furiously. express, final dolphins wake carefully across the bli"
191105,98164,O,109054.87,1997-09-05,4-NOT SPECIFIED,Clerk#000000575,0,wake. blithely bold ideas play
4413953,136870,O,233837.42,1997-10-31,2-HIGH,Clerk#000000562,0,after the unusual packages. quickly unusual requests are fluffily. ideas cajo
2805281,56863,O,255991.90,1997-12-18,3-MEDIUM,Clerk#000000135,0,riously express deposits haggle car
3291779,90160,O,205253.40,1997-11-26,4-NOT SPECIFIED,Clerk#000000051,0,fix along the always even 
2449088,50042,O,124330.86,1997-08-08,1-URGENT,Clerk#000000958,0, pending deposits hinder carefully regular ac
581312,28903,O,166664.07,1997-12-12,3-MEDIUM,Clerk#000000867,0,ake slyly carefully ironic deposits. blithely r
953442,148792,O,199003.48,1997-11-08,5-LOW,Clerk#000000975,0, packages nag. slyly daring foxes affix fluffily. slyly even pinto beans s
3225606,146413,O,284920.66,1997-11-27,4-NOT SPECIFIED,Clerk#000000372,0,dle furiously across the b
3909442,55705,O,193805.82,1997-10-20,5-LOW,Clerk#000000807,0,uickly among the ironic accounts. furiously special r
3415713,131029,O,125755.28,1997-12-29,4-NOT SPECIFIED,Clerk#000000626,0,gainst the ironic packages. quiet accounts a
2941059,77461,O,261455.67,1997-11-21,1-URGENT,Clerk#000000712,0,carefully regular r
5582213,138301,O,233453.28,1997-12-01,5-LOW,Clerk#000000082,0,le slyly across the idle deposits. blithely even excuses throughout the quick
1402726,101854,O,191785.06,1997-09-07,5-LOW,Clerk#000000313,0,the carefully bold packages hag
3060134,105010,O,267050.13,1997-09-19,4-NOT SPECIFIED,Clerk#000000232,0,"gular instructions. ironic, special instructions cajole ironic"
1223234,4873,O,103470.74,1997-09-05,2-HIGH,Clerk#000000084,0,counts. slyly even ideas about the busily ironic deposits int
5215395,24403,O,6602.23,1997-10-16,1-URGENT,Clerk#000000834,0,beans. final packages sleep slyly slyly bold waters. express depo
378470,36934,O,227746.86,1997-09-03,1-URGENT,Clerk#000000727,0,"olites integrate furiously pending accounts. pending, brave "
4129282,137726,O,85039.12,1997-10-25,2-HIGH,Clerk#000000530,0,deposits cajole furiously furiously special de
2596868,5458,O,172501.64,1997-08-18,5-LOW,Clerk#000000015,0,"g deposits. furiously regular ideas wake regular, r"
2446880,21463,O,253097.19,1997-10-12,4-NOT SPECIFIED,Clerk#000000506,0,"st. special, unusual forges are slyly blithely ironic pin"
4809442,130609,O,246922.33,1997-09-29,2-HIGH,Clerk#000000387,0,l dependencies use carefully special requests. courts sleep doggedly accordin
3937765,81106,O,108670.87,1997-11-28,3-MEDIUM,Clerk#000000670,0,ess deposits. blith
71811,113372,O,180137.34,1997-08-17,4-NOT SPECIFIED,Clerk#000000859,0,y final requests use blithely. thinly
2112612,27451,O,259347.81,1997-09-14,2-HIGH,Clerk#000000081,0,efully furiously ironic instructi
3813703,126766,O,209254.28,1997-10-02,1-URGENT,Clerk#000000168,0,ithely furiously bold pinto bea
5264743,87092,O,153343.34,1997-12-18,5-LOW,Clerk#000000047,0,nstructions sleep around the f
371877,95812,O,69561.85,1997-08-15,4-NOT SPECIFIED,Clerk#000000893,0, furiously regular ideas haggle! accounts wake. p
5702981,90457,O,151688.58,1997-10-03,5-LOW,Clerk#000000274,0,nto beans haggle on th
4515910,49898,O,223267.43,1997-11-05,1-URGENT,Clerk#000000354,0,". ironic, bold accounts doze slyly! foxes are carefully against the"
1773185,22924,O,290342.10,1997-10-23,5-LOW,Clerk#000000777,0,odolites across the blithely ironic theodolites 
5228836,124726,O,366685.73,1997-10-03,2-HIGH,Clerk#000000052,0, even foxes. never enticing packages 
3807367,96688,O,215685.19,1997-09-10,5-LOW,Clerk#000000162,0,ages wake quickly. slyly expr
3914499,40669,O,147736.34,1997-11-30,2-HIGH,Clerk#000000227,0,e carefully across the accounts. furiously ironic instructions solve slyly. 
337828,81481,O,174664.28,1997-09-05,5-LOW,Clerk#000000977,0,"riously regular pinto beans wake carefully according to the ironic, ir"
527587,142450,O,185683.49,1997-09-14,5-LOW,Clerk#000000503,0,ial instructions. bold accounts would cajole sl
119334,68905,O,188060.60,1997-12-02,4-NOT SPECIFIED,Clerk#000000479,0,yly final accounts are against the furiously enticing asympto
4783142,7958,O,73941.85,1997-10-25,4-NOT SPECIFIED,Clerk#000000463,0,sual epitaphs after the deposits are f
1148709,14393,O,279423.89,1997-11-21,2-HIGH,Clerk#000000242,0,s. fluffily ironic deposits integrate caref
722180,86182,O,280725.37,1997-09-24,1-URGENT,Clerk#000000090,0, quickly bold packages cajole blithely final
4326818,139366,O,184094.32,1997-12-17,5-LOW,Clerk#000000529,0,he blithely even platelets nag slyly after the ironic packages. regular ideas
4903463,135823,O,164886.51,1997-12-05,4-NOT SPECIFIED,Clerk#000000698,0,", regular courts haggle slyly across the express foxes. silen"
198789,27409,O,286131.27,1997-09-25,3-MEDIUM,Clerk#000000427,0,"usy theodolites use slyly final, pending decoys. deposits sleep. fluffi"
1640388,40796,O,222344.41,1997-12-23,4-NOT SPECIFIED,Clerk#000000815,0,al requests beyond t
3408289,97880,O,267315.36,1997-12-03,2-HIGH,Clerk#000000835,0,kages wake across the bold pinto
2367714,96322,O,133145.02,1997-10-14,3-MEDIUM,Clerk#000000303,0,sly express excuses cajole slyly final theodolite
2702144,77603,O,190804.57,1997-08-23,1-URGENT,Clerk#000000966,0,ch carefully along the deposits. sp
1317543,113531,O,107453.73,1997-10-22,2-HIGH,Clerk#000000136,0,s boost carefully after the carefully final multipliers. idly iro
2251879,138785,O,248043.25,1997-10-03,3-MEDIUM,Clerk#000000735,0,blithely ironic ideas. 
3395079,127864,O,174992.13,1997-08-16,2-HIGH,Clerk#000000892,0,uffily special epitaphs after t
3137605,105268,O,178571.08,1997-10-30,5-LOW,Clerk#000000879,0,eans use across the carefully 
2683875,132341,O,228127.87,1997-09-23,3-MEDIUM,Clerk#000000118,0,lithely express deposits 
5288290,70469,O,164069.39,1997-09-29,3-MEDIUM,Clerk#000000623,0,thily silent foxes are slyly pending accounts. s
5592519,133837,O,312240.90,1997-11-09,2-HIGH,Clerk#000000589,0,d packages run. blithely
5771585,75229,O,217901.59,1997-10-31,2-HIGH,Clerk#000000770,0,old packages cajole carefully unusual a
5652195,109021,O,249446.72,1997-08-30,3-MEDIUM,Clerk#000000099,0,ronic orbits. furiously final deposits use quickly special the
3704419,41239,O,65997.85,1997-12-06,1-URGENT,Clerk#000000801,0,sual accounts boost carefully ironic notornis. sl
3613920,16454,O,241814.76,1997-08-23,4-NOT SPECIFIED,Clerk#000000458,0,theodolites cajole carefully. excus
3215143,83195,O,230719.20,1997-12-05,4-NOT SPECIFIED,Clerk#000000125,0,ven deposits. doggedly close
2098693,51143,O,267117.93,1997-11-05,3-MEDIUM,Clerk#000000496,0, slyly! bold accounts hang ironically. foxes sleep slyly re
4164261,33254,O,191331.42,1997-11-04,1-URGENT,Clerk#000000873,0,sts. furiously ironic pains haggle carefully along the blithely ironic de
89153,5872,O,180423.25,1997-10-25,1-URGENT,Clerk#000000690,0,ly. fluffily final instructions boost car
1278882,122408,O,208278.31,1997-08-12,2-HIGH,Clerk#000000149,0,counts cajole furiously alongside of the packages. blithely 
5313696,84874,O,242868.14,1997-10-31,2-HIGH,Clerk#000000273,0,luffily regular accounts lose furiously unusual deposits.
1814021,53177,O,290832.90,1997-12-16,4-NOT SPECIFIED,Clerk#000000371,0,", blithe foxes. furiously regular a"
3794949,124507,O,273653.31,1997-10-30,4-NOT SPECIFIED,Clerk#000000464,0,gle slyly even ideas. bold packag
5924677,94618,O,203063.17,1997-08-20,4-NOT SPECIFIED,Clerk#000000214,0,detect slyly across the regular foxes. carefully unusual foxes
1771137,91060,O,107760.14,1997-10-24,4-NOT SPECIFIED,Clerk#000000226,0,l accounts haggle after the even accounts. platelets boost 
1136228,52051,O,191124.14,1997-12-16,2-HIGH,Clerk#000000474,0,c dependencies wake. fluffily s
1667874,90391,O,179154.93,1997-09-11,3-MEDIUM,Clerk#000000795,0,ccounts. stealthily regular foxes about the blithely ironic requests play bl
2516003,105005,O,227186.37,1997-09-05,4-NOT SPECIFIED,Clerk#000000204,0, quick requests cajole according to the dogged excuses. accounts cajole blithe
3413862,50575,O,97805.81,1997-09-27,5-LOW,Clerk#000000459,0,uriously ironic requests. quickly quick packages after the quickly e
4906596,44012,O,275174.01,1997-10-04,4-NOT SPECIFIED,Clerk#000000796,0,. slyly pending packages 
1635267,59299,O,286532.30,1997-11-10,5-LOW,Clerk#000000675,0,ironic requests. slyly blithe instructions haggle blithel
2061926,35816,O,168999.27,1997-09-22,1-URGENT,Clerk#000000763,0,"pearls against the bold epitaphs are stealthily express, fi"
3144516,118306,O,264987.47,1997-12-04,3-MEDIUM,Clerk#000000682,0,eposits integrate slyly blithely bold as
3380450,119071,O,76512.49,1997-11-08,4-NOT SPECIFIED,Clerk#000000899,0,excuses: unusual packages nag quickly fu
129061,116993,O,181081.37,1997-09-25,3-MEDIUM,Clerk#000000902,0, unusual accounts grow. quickly regular theodolites sleep. carefully blith
2873028,88813,O,156918.27,1997-12-06,3-MEDIUM,Clerk#000000973,0,final platelets. deposits about the blithely regular packages are slyly
4198406,118021,O,162916.77,1997-11-22,4-NOT SPECIFIED,Clerk#000000553,0,y blithely even waters. bold excuses caj
3909922,81350,O,180032.92,1997-11-06,5-LOW,Clerk#000000138,0,furiously unusual dependencies affix slow instructions. ca
3279622,25181,O,115649.60,1997-10-18,3-MEDIUM,Clerk#000000896,0,refully above the fluffily express foxes. furiously silent r
4446151,144169,O,189561.63,1997-11-19,1-URGENT,Clerk#000000705,0,slyly ironic requests wake slyly regular id
257860,105916,O,201276.34,1997-09-30,3-MEDIUM,Clerk#000000835,0, regular requests. carefully pending dependenc
3723843,142472,O,37020.62,1997-09-03,5-LOW,Clerk#000000843,0,es according to the fluffily final accounts 
5494534,120415,O,278049.41,1997-10-05,4-NOT SPECIFIED,Clerk#000000618,0,silent ideas poach slyl
214949,8377,O,146304.96,1997-11-21,2-HIGH,Clerk#000000965,0,tegrate slyly furiously unusual platelets. slyly bold pin
3134754,149347,O,280344.82,1997-10-18,1-URGENT,Clerk#000000043,0,iously express packages use blithely about the final deposit
4571204,30847,O,250547.51,1997-11-08,2-HIGH,Clerk#000000534,0, to the quickly stealthy theodolites. even deposits wake blithely. platelets u
2708453,107749,O,166074.46,1997-08-29,4-NOT SPECIFIED,Clerk#000000662,0,theodolites haggle slyly furiously final pinto beans. instructions affix b
3611942,22582,O,131081.19,1997-12-25,2-HIGH,Clerk#000000699,0,iously even theodolites wake
5830144,65230,O,30992.49,1997-09-02,2-HIGH,Clerk#000000951,0,al attainments. blithely final
1496162,46963,O,269835.82,1997-09-28,4-NOT SPECIFIED,Clerk#000000224,0,deposits. unusual packages sleep quickly. reques
567332,39257,O,170993.71,1997-11-25,3-MEDIUM,Clerk#000000169,0,"ng accounts. ironic, even notorn"
5257825,73109,O,98013.41,1997-11-19,3-MEDIUM,Clerk#000000697,0,y even accounts-- final theodolite
3589956,73654,O,305319.19,1997-10-07,5-LOW,Clerk#000000292,0,he pinto beans sleep fluffily regular ideas; blithely express ideas against
5672674,101071,O,39271.94,1997-12-02,2-HIGH,Clerk#000000180,0,uests: even foxes thrash closely regular courts. slyly unusual
4034343,25958,O,147390.84,1997-08-31,5-LOW,Clerk#000000212,0, carefully bold instructions a
4697538,97930,O,235924.69,1997-11-24,1-URGENT,Clerk#000000315,0,haggle enticingly: instructions near 
2887809,24464,O,225223.81,1997-10-06,2-HIGH,Clerk#000000399,0,s sleep up the fluffily pending deposits. regu
5349091,44098,O,112985.91,1997-10-10,1-URGENT,Clerk#000000005,0,ar deposits. blithely unusual packages
627140,61402,O,350245.25,1997-10-31,1-URGENT,Clerk#000000989,0, fluffily express instructions except the pending ideas boost furiously after 
5550084,89524,O,152812.34,1997-09-20,2-HIGH,Clerk#000000108,0,c dolphins are according to the quickly regular theo
3137508,98435,O,231199.78,1997-11-24,2-HIGH,Clerk#000000334,0,"t quickly at the ironic, fluffy platelets-- quickly ironic frays sleep "
1254305,89750,O,198869.90,1997-08-27,5-LOW,Clerk#000000970,0,mong the pending dependencies. pending requests 
5848965,105565,O,81341.84,1997-10-02,5-LOW,Clerk#000000257,0, the furiously final accounts. ev
5195521,138824,O,314589.43,1997-12-01,5-LOW,Clerk#000000452,0,"e unusual, ironic pinto beans-"
3738599,134929,O,122052.81,1997-09-03,4-NOT SPECIFIED,Clerk#000000188,0,quickly enticing reques
892769,85873,O,141238.04,1997-10-12,1-URGENT,Clerk#000000322,0,he carefully even accounts
723397,118627,O,138765.62,1997-10-23,1-URGENT,Clerk#000000441,0,nal ideas. pending packages
1688608,48503,O,223927.69,1997-10-18,3-MEDIUM,Clerk#000000114,0,"c, final theodolites are furiously fluffily bold p"
5436001,57157,O,225201.56,1997-10-15,2-HIGH,Clerk#000000657,0,tructions. slyly ironic 
1677383,73675,O,156888.08,1997-10-10,2-HIGH,Clerk#000000310,0,"regular, bold instructions. final requests wake am"
2627655,122353,O,62221.02,1997-10-27,5-LOW,Clerk#000000998,0,"bove the express waters cajole against the pending, ir"
59140,250,O,275324.77,1997-08-31,4-NOT SPECIFIED,Clerk#000000888,0,lly final theodolites. quickly final accounts after the pending d
2372,29062,O,150263.34,1997-11-21,5-LOW,Clerk#000000342,0,s: deposits haggle along the final ideas. careful
3192935,43130,O,251986.50,1997-11-24,2-HIGH,Clerk#000000666,0,s. furiously regular foxes haggle furiously according to 
5981191,88085,O,148441.65,1997-08-30,5-LOW,Clerk#000000278,0, pinto beans use. final deposits are furiously even warhorses. car
3095428,37651,O,227015.41,1997-11-17,3-MEDIUM,Clerk#000000546,0,ses. even theodolites affix around
5792546,44258,O,223643.43,1997-09-11,3-MEDIUM,Clerk#000000908,0,"ronic, unusual packages sleep carefully above the carefully special"
4115586,8696,O,234398.41,1997-10-25,5-LOW,Clerk#000000621,0,"final accounts wake fluffily past the fluffy, ironic frays. blithely special"
588352,105839,O,368990.29,1997-12-06,5-LOW,Clerk#000000633,0,ly according to the fluffily express accounts. carefully ironic reques
5063716,59188,O,234706.46,1997-08-13,4-NOT SPECIFIED,Clerk#000000356,0,its use daringly fluffily even instruction
2034118,80920,O,166865.57,1997-12-16,3-MEDIUM,Clerk#000000340,0,ans wake slyly above the even courts; fina
5743367,89791,O,93345.89,1997-11-21,4-NOT SPECIFIED,Clerk#000000889,0,olites about the quickly enticing packag
191907,21244,O,349323.82,1997-10-05,2-HIGH,Clerk#000000574,0,"ole slyly against the bold, ironic pinto be"
4326502,57362,O,32587.43,1997-10-19,5-LOW,Clerk#000000525,0,ously bold dependencies cajol
4550304,149557,O,110732.19,1997-12-04,2-HIGH,Clerk#000000918,0,ernes haggle. blithely regular depos
5851751,48782,O,218987.73,1997-11-17,2-HIGH,Clerk#000000221,0,heodolites. slyly r
5294340,139271,O,99837.19,1997-11-05,5-LOW,Clerk#000000518,0,pecial deposits. carefully reg
933220,123751,O,23002.95,1997-11-07,4-NOT SPECIFIED,Clerk#000000280,0,uickly unusual noto
3359717,114205,O,179189.26,1997-10-08,4-NOT SPECIFIED,Clerk#000000416,0,ake. furiously regular packages was. blithely ir
4587428,65240,O,144094.15,1997-08-17,5-LOW,Clerk#000000404,0,blithe packages. blithely even d
5904419,8410,O,164231.69,1997-10-09,3-MEDIUM,Clerk#000000999,0,. accounts are around the pe
1146019,85898,O,81615.11,1997-12-09,3-MEDIUM,Clerk#000000726,0,"ual, special deposits are car"
426373,44749,O,260235.75,1997-11-22,2-HIGH,Clerk#000000554,0,. quietly even ideas haggle bold requests. ironically ironic package
638567,93820,O,203613.31,1997-12-19,1-URGENT,Clerk#000000138,0, foxes are furiously. blithely bold courts nag. blithel
4133632,80440,O,129254.48,1997-08-12,1-URGENT,Clerk#000000429,0,boost quickly final waters. ironic requests nag carefully regula
5988676,132691,O,186882.86,1997-09-04,2-HIGH,Clerk#000000369,0,y ironic deposits cajole ironically-- furiously final accoun
4274593,107851,O,190933.19,1997-12-19,4-NOT SPECIFIED,Clerk#000000011,0, the carefully special accounts s
1500455,107689,O,192995.75,1997-08-20,3-MEDIUM,Clerk#000000339,0,slyly regular requests. fin
4638341,44387,O,169946.53,1997-12-08,2-HIGH,Clerk#000000286,0,"ly idle deposits unwind furiously ironic pinto beans; slow, expr"
4518662,90287,O,149680.11,1997-08-27,1-URGENT,Clerk#000000544,0,oss the fluffy packages-- ruthlessly even requests was
2251232,36382,O,250482.76,1997-10-02,3-MEDIUM,Clerk#000000260,0,s about the furiously close accounts i
819237,28522,O,117924.03,1997-09-24,1-URGENT,Clerk#000000497,0,structions. even foxes over the carefully pending requests affix bli
637121,140536,O,7122.60,1997-09-08,3-MEDIUM,Clerk#000000683,0,lly ironic accounts. fluffily ironic packages
4688327,87943,O,237908.03,1997-11-20,1-URGENT,Clerk#000000001,0, final theodolites around the ideas integrate quickly furiously steal
1751142,105578,O,335823.41,1997-08-29,1-URGENT,Clerk#000000989,0,s. regular platelets detect ruthlessly against the blithely s
909155,99427,O,180782.90,1997-09-04,1-URGENT,Clerk#000000095,0, daringly regular foxes. s
1959043,49804,O,163090.49,1997-12-07,1-URGENT,Clerk#000000797,0, quickly final sentiments. final theodolites above the rut
4381542,149510,O,170273.56,1997-08-15,1-URGENT,Clerk#000000759,0,"ajole. express, regular requests wake. regular dependencies haggle "
5976167,117769,O,192381.60,1997-08-20,5-LOW,Clerk#000000687,0,he regular requests. slyly even packages cajole along the final d
3616196,24974,O,218266.88,1997-11-12,1-URGENT,Clerk#000000531,0,ns grow slyly fluffy accounts; pending instructions cajole at the specia
2853408,114970,O,149032.44,1997-09-05,2-HIGH,Clerk#000000399,0,onic platelets. pending packages are slyly again
324640,75128,O,287168.15,1997-12-28,4-NOT SPECIFIED,Clerk#000000130,0,ording to the blithely express dolphins. 
601476,127138,O,316928.44,1997-10-09,3-MEDIUM,Clerk#000000440,0,al theodolites. blithe as
4445540,52549,O,241488.52,1997-11-02,2-HIGH,Clerk#000000073,0,sts wake among the ironic ideas. careful
1912354,17570,O,136757.04,1997-09-06,2-HIGH,Clerk#000000096,0,l packages use blithely a
2447910,120454,O,280064.75,1997-11-24,1-URGENT,Clerk#000000258,0,g across the package
5173120,48973,O,164715.52,1997-10-12,4-NOT SPECIFIED,Clerk#000000775,0,uests. fluffily regular packages cajole quickly blithely expr
4168614,8152,O,156891.37,1997-09-17,2-HIGH,Clerk#000000606,0,ctions. final package
2501414,37291,O,187097.61,1997-10-26,3-MEDIUM,Clerk#000000654,0, final platelets haggle fluffily carefully special packages. quickly final a
549056,49960,O,113468.01,1997-11-14,3-MEDIUM,Clerk#000000806,0,ntly regular requests detect furiou
1421027,26908,O,146498.98,1997-11-17,3-MEDIUM,Clerk#000000041,0,hely enticingly bold packages. quick
1580037,103511,O,225412.56,1997-11-13,4-NOT SPECIFIED,Clerk#000000681,0,gly pending theodolites haggle quickly according to the blithely final instr
1654915,114031,O,297881.28,1997-09-28,5-LOW,Clerk#000000153,0,counts. final accounts sleep. ironic deposits about the fluffily unusual
2071364,44827,O,327196.21,1997-10-01,3-MEDIUM,Clerk#000000490,0,theodolites use careful
4225157,34469,O,27474.98,1997-10-10,2-HIGH,Clerk#000000541,0,foxes. furiously spe
2667969,102673,O,185748.15,1997-09-08,1-URGENT,Clerk#000000912,0,luffily regular theodolites are carefully slyly final pac
5446466,38170,O,303268.10,1997-09-10,3-MEDIUM,Clerk#000000422,0,slyly even packages are. slyly ironic foxes sleep after th
3740225,130753,O,247504.89,1997-09-26,5-LOW,Clerk#000000839,0," ideas. express accounts haggle after the express, silent patt"
3888775,126083,O,262755.85,1997-10-24,4-NOT SPECIFIED,Clerk#000000460,0,"e the silent deposits nag furiously unusual, expr"
1796450,49322,O,163659.01,1997-11-06,1-URGENT,Clerk#000000261,0,es cajole ruthlessly among the
1773797,77944,O,321283.61,1997-09-28,3-MEDIUM,Clerk#000000783,0,le furiously bold packages. evenl
3425792,81976,O,4955.72,1997-12-26,2-HIGH,Clerk#000000505,0,latelets haggle. slyly pending packages run along the slyly quick instructi
537634,82330,O,198064.40,1997-11-04,3-MEDIUM,Clerk#000000173,0,fluffily even accounts use furiously across the blithely special request
492292,27400,O,274022.02,1997-10-13,3-MEDIUM,Clerk#000000412,0,"ages nag furiously regular, regular accounts. final, silent"
3036070,76171,O,283818.32,1997-12-10,1-URGENT,Clerk#000000129,0,"ts lose furiously unusual, ironic ideas. furiously regular dep"
3178144,133814,O,275991.86,1997-12-02,5-LOW,Clerk#000000378,0,ic asymptotes affix qui
306020,98008,O,231303.37,1997-11-16,2-HIGH,Clerk#000001000,0,tain slyly final pinto beans. carefully pending 
2722018,45734,O,64191.81,1997-10-04,1-URGENT,Clerk#000000366,0,fily quick accounts hag
2537027,53137,O,113513.07,1997-12-02,3-MEDIUM,Clerk#000000595,0,iously bold platelets. 
2551778,72955,O,83746.60,1997-09-01,5-LOW,Clerk#000000374,0, beans breach slyly abou
4161857,54449,O,121277.28,1997-11-16,3-MEDIUM,Clerk#000000728,0,ular braids are. quickly final deposits maintain around the caref
1987847,61814,O,112339.97,1997-08-20,2-HIGH,Clerk#000000036,0,ges. slyly ironic deposits use. carefully pending ideas 
5583461,81445,O,143992.44,1997-12-20,1-URGENT,Clerk#000000166,0,daring pinto beans. even accounts use slowly about the furiously ironic deposi
1803972,4963,O,129466.37,1997-10-05,5-LOW,Clerk#000000303,0,"slyly regular excuses use ironic, regular foxes. carefully e"
