P_PARTKEY,P_NAME,P_MFGR,P_BRAND,P_TYPE,P_SIZE,P_CONTAINER,P_RETAILPRICE,P_COMMENT
46938,ivory midnight aquamarine spring light,Manufacturer#5,Brand#51,SMALL ANODIZED TIN,34,LG CASE,1884.93, deposits. slyly ir
86918,olive medium blue drab lime,Manufacturer#1,Brand#12,PROMO BURNISHED NICKEL,37,LG BAG,1904.91,ideas. regular fo
188306,red dim chiffon light cream,Manufacturer#2,Brand#21,PROMO ANODIZED STEEL,30,WRAP DRUM,1394.30,nts. sly packages 
39052,navy cornflower black tan papaya,Manufacturer#3,Brand#33,LARGE BURNISHED STEEL,50,MED PACK,991.05,ckly ironic acc
54169,puff rosy slate dodger yellow,Manufacturer#3,Brand#35,SMALL BURNISHED TIN,35,WRAP DRUM,1123.16,riously bold 
64560,lemon beige red sandy saddle,Manufacturer#2,Brand#25,LARGE PLATED BRASS,29,LG CAN,1524.56,ole after the blithe
191105,khaki sandy metallic violet light,Manufacturer#1,Brand#11,PROMO POLISHED TIN,21,WRAP JAR,1196.10,ily special deposits a
3252,violet burlywood sandy dodger mint,Manufacturer#5,Brand#55,SMALL PLATED STEEL,42,WRAP DRUM,1155.25,"ic, bold packages are"
87513,dodger tan turquoise coral beige,Manufacturer#3,Brand#32,MEDIUM ANODIZED STEEL,8,WRAP JAR,1500.51,ong the slyly p
7368,dim rose cornflower papaya powder,Manufacturer#1,Brand#11,MEDIUM ANODIZED NICKEL,1,SM JAR,1275.36, the even accoun
124214,green chocolate lavender smoke papaya,Manufacturer#3,Brand#33,SMALL PLATED NICKEL,29,SM CAN,1238.21,rding 
180281,magenta sienna mint gainsboro moccasin,Manufacturer#3,Brand#31,LARGE BURNISHED TIN,4,WRAP PKG,1361.28,ly spec
2154,antique beige aquamarine papaya metallic,Manufacturer#2,Brand#23,STANDARD ANODIZED NICKEL,34,MED PKG,1056.15,e final pin
170136,medium dim orange papaya cream,Manufacturer#4,Brand#44,MEDIUM BURNISHED NICKEL,34,WRAP CASE,1206.13,ress deposits. 
101770,orange rosy salmon sienna azure,Manufacturer#5,Brand#51,MEDIUM BRUSHED NICKEL,48,JUMBO CASE,1771.77,st the fl
199231,lawn yellow snow azure light,Manufacturer#3,Brand#31,STANDARD BURNISHED COPPER,50,JUMBO PKG,1330.23,gular
179695,snow royal cornsilk linen red,Manufacturer#2,Brand#25,MEDIUM ANODIZED BRASS,44,MED CAN,1774.69,efully regul
188023,chartreuse powder tomato moccasin thistle,Manufacturer#4,Brand#44,SMALL PLATED NICKEL,12,LG JAR,1111.02,unusual deposits. 
61918,firebrick purple plum blanched cream,Manufacturer#3,Brand#33,SMALL POLISHED TIN,9,JUMBO BAG,1879.91,", bold "
12255,salmon moccasin turquoise pale indian,Manufacturer#3,Brand#32,MEDIUM PLATED TIN,17,SM DRUM,1167.25,g accounts
173725,lemon light honeydew smoke cyan,Manufacturer#3,Brand#32,SMALL BURNISHED STEEL,14,SM CAN,1798.72,e after the quickl
105900,maroon chiffon frosted drab spring,Manufacturer#2,Brand#25,MEDIUM POLISHED COPPER,43,SM BAG,1905.90,s. idly final 
102553,red orchid slate chiffon misty,Manufacturer#3,Brand#31,MEDIUM POLISHED TIN,48,SM PACK,1555.55,ideas a
181286,seashell dim turquoise goldenrod honeydew,Manufacturer#3,Brand#31,MEDIUM BURNISHED NICKEL,29,JUMBO BOX,1367.28,inal foxes. packag
41236,white sky thistle cornflower grey,Manufacturer#5,Brand#55,STANDARD POLISHED STEEL,45,MED BAG,1177.23,ing courts
190486,green brown beige rosy magenta,Manufacturer#1,Brand#15,STANDARD PLATED BRASS,27,MED DRUM,1576.48,equests
84617,green cyan pink maroon sandy,Manufacturer#5,Brand#52,PROMO POLISHED COPPER,4,WRAP PACK,1601.61,e regular dep
176737,blue orchid powder pink almond,Manufacturer#5,Brand#53,MEDIUM POLISHED BRASS,15,SM BAG,1813.73,kages cajole a
46091,violet burlywood powder metallic medium,Manufacturer#1,Brand#12,LARGE BURNISHED BRASS,38,WRAP BAG,1037.09,ously aga
174602,seashell tan rose rosy lime,Manufacturer#5,Brand#55,MEDIUM PLATED NICKEL,47,MED JAR,1676.60,uctions i
171081,purple puff blue tomato chartreuse,Manufacturer#2,Brand#21,ECONOMY BRUSHED NICKEL,12,LG BAG,1152.08, packages. furiou
145402,frosted dodger chartreuse rose maroon,Manufacturer#1,Brand#11,MEDIUM PLATED NICKEL,48,JUMBO CAN,1447.40, regu
171360,aquamarine violet gainsboro royal papaya,Manufacturer#4,Brand#43,PROMO BRUSHED STEEL,37,MED DRUM,1431.36,uriously iro
127373,midnight metallic puff thistle smoke,Manufacturer#5,Brand#51,SMALL BRUSHED NICKEL,8,JUMBO JAR,1400.37,s. blithely final p
52408,navy floral spring lace green,Manufacturer#3,Brand#34,PROMO BRUSHED TIN,25,SM DRUM,1360.40,sts; slyly 
199115,green olive slate frosted turquoise,Manufacturer#4,Brand#42,PROMO POLISHED STEEL,17,SM BOX,1214.11, the furious
74700,navy peru deep wheat bisque,Manufacturer#4,Brand#41,PROMO PLATED TIN,36,JUMBO BOX,1674.70,t the c
6035,royal orange pink burnished salmon,Manufacturer#1,Brand#11,MEDIUM POLISHED BRASS,39,WRAP CAN,941.03,y thin
93265,lavender pink goldenrod coral burnished,Manufacturer#3,Brand#35,PROMO POLISHED STEEL,40,WRAP BAG,1258.26, express f
181290,orchid blue brown burlywood peach,Manufacturer#4,Brand#43,PROMO BRUSHED TIN,36,MED BAG,1371.29,onic theodolit
128176,grey burnished navy snow sandy,Manufacturer#3,Brand#35,SMALL BRUSHED COPPER,49,SM BOX,1204.17,sometimes according 
111252,red midnight royal bisque tomato,Manufacturer#2,Brand#25,MEDIUM BRUSHED COPPER,41,LG PKG,1263.25,posits. quickly s
183442,black rose puff coral dark,Manufacturer#5,Brand#51,PROMO ANODIZED STEEL,6,LG CAN,1525.44,eve b
70795,dark maroon white floral bisque,Manufacturer#4,Brand#41,LARGE ANODIZED TIN,16,WRAP CAN,1765.79,quickly even th
94786,moccasin deep smoke rose black,Manufacturer#3,Brand#32,SMALL POLISHED NICKEL,41,SM PKG,1780.78,g pinto bean
162985,purple navy brown azure burlywood,Manufacturer#2,Brand#22,STANDARD BRUSHED TIN,48,JUMBO JAR,2047.98,y courts. quickly fi
187571,steel violet pale honeydew tomato,Manufacturer#5,Brand#51,ECONOMY POLISHED STEEL,24,JUMBO CASE,1658.57,against the pend
120881,blanched burlywood firebrick navy medium,Manufacturer#2,Brand#24,ECONOMY POLISHED NICKEL,7,MED PACK,1901.88,iously unus
113701,blue brown pink black frosted,Manufacturer#4,Brand#45,MEDIUM BRUSHED COPPER,33,SM PKG,1714.70,fully even foxes a
175898,pale maroon tomato magenta peru,Manufacturer#4,Brand#45,STANDARD BRUSHED COPPER,7,SM BAG,1973.89,eodoli
147233,metallic salmon lace brown blush,Manufacturer#3,Brand#34,LARGE BRUSHED STEEL,38,WRAP DRUM,1280.23,en deposi
74670,black burlywood plum spring frosted,Manufacturer#1,Brand#13,LARGE PLATED NICKEL,25,LG CASE,1644.67,pains wake sl
135413,deep black dodger tan cornflower,Manufacturer#3,Brand#35,SMALL PLATED TIN,36,MED BOX,1448.41,tegrate fu
52528,purple salmon peach firebrick frosted,Manufacturer#3,Brand#35,SMALL PLATED TIN,27,SM CAN,1480.52,ought to wake ab
118407,chocolate chiffon moccasin wheat pale,Manufacturer#1,Brand#11,STANDARD BRUSHED BRASS,4,MED PACK,1425.40,ld accounts 
27882,violet moccasin burlywood pale dim,Manufacturer#3,Brand#35,STANDARD PLATED TIN,20,JUMBO CAN,1809.88, nag s
83788,blush honeydew navy blue black,Manufacturer#1,Brand#15,STANDARD BRUSHED NICKEL,1,JUMBO BAG,1771.78,usly above the
103175,sky lawn drab blush beige,Manufacturer#2,Brand#22,ECONOMY BRUSHED COPPER,9,LG PACK,1178.17,nic packages. slyly re
140143,almond honeydew lemon orchid rosy,Manufacturer#4,Brand#45,MEDIUM BURNISHED STEEL,28,WRAP JAR,1183.14,e. blithely pendi
99754,snow chiffon misty sandy wheat,Manufacturer#1,Brand#15,ECONOMY BURNISHED TIN,34,LG PKG,1753.75,o the blithely e
78601,medium navajo dark bisque lawn,Manufacturer#4,Brand#43,LARGE BRUSHED TIN,2,JUMBO CAN,1579.60,blithely regular
90669,coral orchid thistle olive burnished,Manufacturer#3,Brand#34,LARGE BRUSHED COPPER,46,MED BAG,1659.66,g fluffi
10674,tomato bisque spring cornflower burlywood,Manufacturer#3,Brand#31,ECONOMY PLATED TIN,49,JUMBO CAN,1584.67,s across the furiously
97369,metallic maroon black frosted peach,Manufacturer#4,Brand#45,MEDIUM BRUSHED COPPER,1,SM BOX,1366.36,uriously unusual theod
63739,green azure khaki mint indian,Manufacturer#1,Brand#14,ECONOMY PLATED TIN,22,LG BOX,1702.73,ular requ
99952,wheat peru medium red dodger,Manufacturer#5,Brand#52,STANDARD ANODIZED COPPER,36,LG PACK,1951.95,s. carefully b
12675,brown cornflower aquamarine magenta lime,Manufacturer#2,Brand#25,ECONOMY BURNISHED COPPER,45,LG BOX,1587.67," about the bold, pe"
162361,azure powder navajo pink dark,Manufacturer#3,Brand#34,LARGE PLATED STEEL,21,MED CAN,1423.36,bits. bold asymptotes
15236,puff orange peru steel khaki,Manufacturer#3,Brand#35,PROMO BRUSHED BRASS,49,WRAP CAN,1151.23,nstructions along
166198,medium spring cornsilk dim antique,Manufacturer#5,Brand#51,MEDIUM BRUSHED STEEL,10,SM CASE,1264.19,s: regular fox
115387,royal tomato violet smoke green,Manufacturer#3,Brand#33,SMALL POLISHED NICKEL,8,WRAP BOX,1402.38,carefully.
12284,white indian drab firebrick tan,Manufacturer#5,Brand#53,MEDIUM ANODIZED NICKEL,7,SM BOX,1196.28,. furiously regular fo
16128,magenta orange sky blanched linen,Manufacturer#2,Brand#23,STANDARD BURNISHED STEEL,11,WRAP PACK,1044.12,y dogged i
193282,chiffon blanched gainsboro turquoise powder,Manufacturer#4,Brand#45,SMALL BRUSHED STEEL,22,WRAP BAG,1375.28,ons snooze quickl
7156,papaya maroon gainsboro cream burlywood,Manufacturer#4,Brand#43,SMALL ANODIZED STEEL,29,JUMBO DRUM,1063.15,tions wake. carefully 
39030,navajo misty cornflower salmon lavender,Manufacturer#1,Brand#12,PROMO BURNISHED TIN,12,MED BOX,969.03,sual deposits.
112019,indian mint antique lime rosy,Manufacturer#4,Brand#43,PROMO BURNISHED TIN,46,LG PKG,1031.01, to the qui
79964,turquoise seashell olive orchid rosy,Manufacturer#5,Brand#53,ECONOMY ANODIZED COPPER,24,SM JAR,1943.96,ts. blit
103439,moccasin misty plum lime pale,Manufacturer#2,Brand#21,ECONOMY BRUSHED STEEL,5,WRAP CASE,1442.43,y blithely even epit
141849,cream magenta slate metallic orchid,Manufacturer#2,Brand#22,PROMO ANODIZED NICKEL,10,JUMBO PKG,1890.84,blithe
193327,tan magenta burnished blush slate,Manufacturer#1,Brand#13,LARGE POLISHED TIN,11,LG BOX,1420.32, slyly final r
120821,plum misty sandy indian purple,Manufacturer#5,Brand#51,STANDARD PLATED STEEL,28,LG DRUM,1841.82,phins 
168608,sandy snow burlywood chocolate blue,Manufacturer#3,Brand#32,PROMO PLATED BRASS,49,SM BOX,1676.60,kages u
37489,spring drab saddle beige khaki,Manufacturer#4,Brand#45,PROMO BURNISHED BRASS,50,SM PACK,1426.48," beans. regular, r"
161755,gainsboro hot plum peru chocolate,Manufacturer#3,Brand#35,SMALL ANODIZED NICKEL,16,MED CASE,1816.75,jole 
44167,goldenrod grey papaya misty burlywood,Manufacturer#1,Brand#14,ECONOMY ANODIZED BRASS,8,SM JAR,1111.16,out the
186706,lime firebrick green puff indian,Manufacturer#1,Brand#15,LARGE BURNISHED TIN,7,WRAP DRUM,1792.70,s cajole quickly al
91207,lawn azure cream medium tan,Manufacturer#4,Brand#43,STANDARD BRUSHED STEEL,35,SM CASE,1198.20,nusual account
70629,navajo sky cream burlywood dark,Manufacturer#4,Brand#43,PROMO POLISHED BRASS,33,MED DRUM,1599.62,packages alon
40314,antique salmon brown thistle turquoise,Manufacturer#1,Brand#14,LARGE ANODIZED STEEL,31,WRAP BOX,1254.31,pecial f
192668,cornflower turquoise cyan green beige,Manufacturer#1,Brand#12,PROMO ANODIZED TIN,32,WRAP DRUM,1760.66,iously regular d
34353,blanched slate orange purple mint,Manufacturer#3,Brand#34,LARGE BURNISHED STEEL,26,LG BOX,1287.35,y ironic requ
76192,papaya plum pale brown black,Manufacturer#5,Brand#54,STANDARD BRUSHED BRASS,35,LG BOX,1168.19,ructions wake 
56781,misty firebrick navy cornflower gainsboro,Manufacturer#5,Brand#51,MEDIUM PLATED NICKEL,1,JUMBO BOX,1737.78,express pinto beans
127153,black misty ivory moccasin ghost,Manufacturer#3,Brand#34,LARGE PLATED COPPER,6,MED JAR,1180.15,ts. theodolites hag
116436,purple chartreuse midnight navajo yellow,Manufacturer#5,Brand#53,MEDIUM ANODIZED NICKEL,47,MED CAN,1452.43,ly. carefully e
175824,deep frosted lawn antique sky,Manufacturer#2,Brand#24,ECONOMY PLATED NICKEL,44,WRAP CASE,1899.82,". bold, pending ideas"
19536,hot beige lace linen forest,Manufacturer#5,Brand#53,SMALL ANODIZED COPPER,49,SM PACK,1455.53,". quick, pen"
188004,chartreuse peach peru papaya gainsboro,Manufacturer#4,Brand#41,STANDARD ANODIZED NICKEL,38,WRAP PACK,1092.00,", ironic instr"
94299,honeydew orange cornflower medium goldenrod,Manufacturer#1,Brand#13,ECONOMY BURNISHED COPPER,37,JUMBO DRUM,1293.29,aggle blithely blithel
162645,antique bisque green indian hot,Manufacturer#1,Brand#15,PROMO BURNISHED STEEL,47,JUMBO BOX,1707.64,ithely
87537,midnight yellow snow saddle antique,Manufacturer#5,Brand#54,MEDIUM ANODIZED COPPER,27,MED JAR,1524.53,n blithe
81331,navajo slate yellow papaya ivory,Manufacturer#1,Brand#14,PROMO POLISHED BRASS,35,JUMBO PACK,1312.33,s sleep slyly. regul
13653,seashell yellow floral medium thistle,Manufacturer#3,Brand#31,MEDIUM ANODIZED TIN,32,LG BOX,1566.65,es sleep even exc
182831,sandy blue peach gainsboro cornsilk,Manufacturer#3,Brand#35,STANDARD BURNISHED STEEL,5,WRAP BOX,1913.83,e carefully
184470,chartreuse firebrick deep metallic aquamarine,Manufacturer#1,Brand#13,SMALL POLISHED BRASS,2,MED CASE,1554.47,ng the sly
107031,black forest light peru honeydew,Manufacturer#1,Brand#13,PROMO BURNISHED TIN,31,MED PACK,1038.03,ggle thin
141344,firebrick pale lavender blue pink,Manufacturer#2,Brand#21,LARGE PLATED STEEL,7,SM CASE,1385.34,ingly
93432,tan rosy slate khaki steel,Manufacturer#5,Brand#52,LARGE BRUSHED TIN,27,LG PKG,1425.43,odolites. quick
6632,sandy orchid misty navajo antique,Manufacturer#1,Brand#15,ECONOMY PLATED COPPER,35,JUMBO CAN,1538.63,eas cajole bl
96934,tomato coral light dim green,Manufacturer#1,Brand#13,LARGE PLATED STEEL,20,JUMBO CASE,1930.93,latelets haggle bli
71784,cyan gainsboro almond dim puff,Manufacturer#2,Brand#21,STANDARD ANODIZED BRASS,14,WRAP PACK,1755.78, blithely 
118329,blue brown peach chocolate ivory,Manufacturer#1,Brand#12,SMALL BRUSHED STEEL,7,JUMBO CASE,1347.32,es. boldly silent dol
191071,deep forest lavender aquamarine drab,Manufacturer#5,Brand#54,ECONOMY BURNISHED BRASS,45,WRAP DRUM,1162.07,ns. bl
129234,papaya cornflower rose tomato royal,Manufacturer#4,Brand#41,ECONOMY BRUSHED BRASS,11,MED JAR,1263.23,al deposits.
68778,blush plum navy dark linen,Manufacturer#4,Brand#41,SMALL ANODIZED TIN,17,LG CAN,1746.77,old packages
197724,tomato thistle bisque navajo wheat,Manufacturer#3,Brand#32,SMALL PLATED STEEL,13,JUMBO DRUM,1821.72,le slyly according t
50622,lawn pink papaya spring antique,Manufacturer#2,Brand#21,LARGE ANODIZED STEEL,43,MED CAN,1572.62,kages boost evenl
185354,puff rose medium moccasin tomato,Manufacturer#2,Brand#22,MEDIUM POLISHED TIN,35,SM PACK,1439.35, the slyly fin
33930,pink black maroon lace slate,Manufacturer#1,Brand#11,STANDARD BRUSHED STEEL,21,SM PACK,1863.93,final requ
117268,dodger gainsboro pink brown purple,Manufacturer#1,Brand#14,SMALL POLISHED STEEL,25,WRAP DRUM,1285.26,es aft
83416,powder orange papaya royal lemon,Manufacturer#3,Brand#31,ECONOMY PLATED BRASS,4,SM CASE,1399.41, even depen
139475,brown honeydew purple light burlywood,Manufacturer#5,Brand#53,MEDIUM POLISHED NICKEL,10,JUMBO BAG,1514.47,serve slyly. 
133757,rosy lavender peach indian chocolate,Manufacturer#1,Brand#13,PROMO BURNISHED BRASS,29,SM PACK,1790.75,"use blithely. even, r"
112450,goldenrod wheat orange blanched lime,Manufacturer#3,Brand#31,SMALL PLATED NICKEL,23,MED DRUM,1462.45,tions. bold
24944,navajo medium ivory slate chocolate,Manufacturer#1,Brand#15,LARGE PLATED STEEL,21,WRAP JAR,1868.94," pending, reg"
100971,honeydew dodger pink beige rosy,Manufacturer#4,Brand#44,MEDIUM ANODIZED COPPER,10,MED BOX,1971.97,carefully pending
5285,mint sienna blue beige navy,Manufacturer#5,Brand#54,MEDIUM BRUSHED COPPER,48,JUMBO PKG,1190.28,arefully accounts. 
33443,coral pale mint olive white,Manufacturer#4,Brand#45,MEDIUM PLATED BRASS,10,MED DRUM,1376.44,le against the ca
86581,misty grey purple lavender burnished,Manufacturer#2,Brand#23,LARGE BRUSHED NICKEL,45,WRAP PACK,1567.58,ly even p
35250,hot green royal firebrick mint,Manufacturer#3,Brand#31,MEDIUM BURNISHED TIN,7,JUMBO DRUM,1185.25,al attainments
99846,khaki lemon peach peru medium,Manufacturer#3,Brand#32,LARGE PLATED COPPER,28,SM CAN,1845.84,lar dinos. fi
14220,violet yellow chartreuse hot floral,Manufacturer#1,Brand#13,PROMO POLISHED TIN,26,MED DRUM,1134.22,ar accounts p
135725,salmon snow aquamarine ivory moccasin,Manufacturer#4,Brand#43,LARGE BURNISHED NICKEL,10,SM JAR,1760.72,structions are furi
189707,lemon grey turquoise linen smoke,Manufacturer#5,Brand#51,LARGE POLISHED TIN,28,MED CAN,1796.70,s. id
177468,ghost purple burlywood pink antique,Manufacturer#4,Brand#45,STANDARD BURNISHED NICKEL,50,WRAP CAN,1545.46,r foxe
25297,lavender blush yellow blue magenta,Manufacturer#4,Brand#44,MEDIUM BURNISHED COPPER,35,MED BAG,1222.29,fully alon
92838,drab floral thistle smoke dodger,Manufacturer#2,Brand#25,ECONOMY BURNISHED TIN,37,MED DRUM,1830.83,eposit
176389,linen purple violet firebrick cyan,Manufacturer#5,Brand#53,LARGE BRUSHED TIN,36,JUMBO BAG,1465.38,deas. carefully dari
6274,lace azure blush wheat frosted,Manufacturer#2,Brand#24,MEDIUM BURNISHED STEEL,18,WRAP DRUM,1180.27,o the even grouches 
65957,grey moccasin drab plum royal,Manufacturer#5,Brand#52,SMALL PLATED STEEL,46,JUMBO PKG,1922.95,cial requests
183390,puff green navajo lemon lace,Manufacturer#2,Brand#24,MEDIUM BURNISHED TIN,11,JUMBO PACK,1473.39,ously above the iro
133499,frosted azure lime smoke turquoise,Manufacturer#2,Brand#24,ECONOMY PLATED COPPER,11,SM DRUM,1532.49,sts nag alongside of 
161254,firebrick wheat lawn salmon bisque,Manufacturer#2,Brand#23,ECONOMY BURNISHED NICKEL,19,MED PKG,1315.25,longside of the p
32728,hot peach midnight violet honeydew,Manufacturer#3,Brand#35,PROMO POLISHED NICKEL,49,MED BAG,1660.72,y. quickly express the
147951,khaki drab dodger tan burlywood,Manufacturer#3,Brand#32,LARGE PLATED BRASS,30,MED PACK,1998.95,ic acco
72986,purple green hot powder lavender,Manufacturer#3,Brand#32,ECONOMY POLISHED STEEL,15,LG PKG,1958.98,t depos
151929,cornsilk almond cornflower light turquoise,Manufacturer#3,Brand#31,PROMO BRUSHED TIN,43,MED JAR,1980.92,ts sleep slyly caref
55882,green beige azure pink rose,Manufacturer#2,Brand#25,SMALL BRUSHED NICKEL,32,JUMBO DRUM,1837.88,e fur
51580,forest magenta metallic cyan peru,Manufacturer#2,Brand#22,SMALL BURNISHED BRASS,15,MED CASE,1531.58,ncies. acco
88497,light metallic pale violet steel,Manufacturer#1,Brand#12,MEDIUM PLATED STEEL,28,LG CASE,1485.49,uriously r
21042,metallic chartreuse mint tan goldenrod,Manufacturer#2,Brand#24,LARGE BRUSHED COPPER,37,MED JAR,963.04,ing deposits al
50967,cyan blue violet bisque drab,Manufacturer#5,Brand#52,SMALL ANODIZED NICKEL,43,JUMBO DRUM,1917.96,he regular foxes.
116201,chiffon bisque deep maroon tomato,Manufacturer#2,Brand#22,MEDIUM POLISHED STEEL,18,MED BOX,1217.20,jole carefully
118111,red wheat light coral powder,Manufacturer#2,Brand#24,PROMO PLATED NICKEL,41,MED CASE,1129.11,r requests 
91744,almond cornflower floral deep lawn,Manufacturer#3,Brand#34,STANDARD BRUSHED NICKEL,1,SM JAR,1735.74, of the sly
122549,smoke yellow peach dim olive,Manufacturer#4,Brand#41,SMALL ANODIZED TIN,24,LG JAR,1571.54,g furious
196311,snow aquamarine royal saddle yellow,Manufacturer#2,Brand#24,MEDIUM PLATED BRASS,35,MED JAR,1407.31,posits. slyly 
136498,burlywood ghost slate puff burnished,Manufacturer#3,Brand#31,LARGE PLATED BRASS,5,JUMBO CASE,1534.49,uickly. slyly ir
54517,orchid chiffon salmon lawn blush,Manufacturer#5,Brand#51,PROMO ANODIZED STEEL,5,MED PACK,1471.51,xcuses
157543,chartreuse lemon mint spring cyan,Manufacturer#1,Brand#11,SMALL BRUSHED NICKEL,18,WRAP DRUM,1600.54,sts sleep 
128955,beige lawn navy tan cornsilk,Manufacturer#1,Brand#14,MEDIUM PLATED STEEL,50,MED CASE,1983.95,rding t
110016,purple tomato sky honeydew metallic,Manufacturer#1,Brand#11,ECONOMY ANODIZED NICKEL,14,JUMBO CASE,1026.01, accounts
127035,hot linen red lime sky,Manufacturer#5,Brand#55,ECONOMY BRUSHED BRASS,21,SM CAN,1062.03,s integrate bl
199757,maroon honeydew almond moccasin steel,Manufacturer#2,Brand#22,SMALL PLATED NICKEL,29,MED CASE,1856.75,furiously regul
46298,dodger antique maroon navy honeydew,Manufacturer#4,Brand#43,MEDIUM ANODIZED TIN,7,MED BAG,1244.29, the even re
133670,green chocolate maroon tomato blush,Manufacturer#2,Brand#24,LARGE POLISHED BRASS,34,SM BAG,1703.67,lyly along the idle ac
197902,aquamarine chartreuse misty turquoise yellow,Manufacturer#1,Brand#14,LARGE POLISHED BRASS,37,JUMBO CAN,1999.90,y final f
