L_ORDERKEY,L_PARTKEY,L_SUPPKEY,L_LINENUMBER,L_QUANTITY,L_EXTENDEDPRICE,L_DISCOUNT,L_TAX,L_RETURNFLAG,L_LINESTATUS,L_SHIPDATE,L_COMMITDATE,L_RECEIPTDATE,L_SHIPINSTRUCT,L_SHIPMODE,L_COMMENT
1489699,133258,798,2,5.00,6456.25,0.01,0.00,N,O,1997-12-19,1997-12-29,1998-01-01,NONE,MAIL,instructions boost slyly outside the
662276,3387,8388,4,14.00,18065.32,0.09,0.05,N,O,1997-12-26,1998-02-06,1998-01-01,COLLECT COD,REG AIR,dolphins after the deposits grow according
1402726,33181,3182,6,18.00,20055.24,0.10,0.02,N,O,1997-12-08,1997-11-19,1998-01-01,TAKE BACK RETURN,FOB,s do nod slyly about the slyly final re
775845,143788,1331,6,27.00,49458.06,0.05,0.02,N,O,1997-12-17,1998-01-08,1998-01-01,TAKE BACK RETURN,TRUCK,ons. stealthily special deposits nag 
3216134,171081,6116,2,29.00,33410.32,0.08,0.07,N,O,1997-12-11,1997-11-12,1998-01-01,COLLECT COD,FOB,e slyly final r
4170117,80405,406,1,26.00,36020.40,0.03,0.01,N,O,1997-12-18,1998-01-22,1998-01-01,TAKE BACK RETURN,AIR,furiously silent deposits. furiously fin
4583074,151296,3812,1,37.00,49849.73,0.05,0.02,N,O,1997-12-17,1998-01-10,1998-01-01,NONE,FOB," unusual grouches. bold, fin"
3897799,119181,6715,6,21.00,25203.78,0.09,0.02,N,O,1997-12-25,1998-01-09,1998-01-01,NONE,AIR,are furiously around
4797568,102637,5148,1,4.00,6558.52,0.08,0.02,N,O,1997-12-10,1997-11-20,1998-01-01,COLLECT COD,MAIL,its agains
966150,55038,7544,3,19.00,18867.57,0.07,0.06,N,O,1997-12-10,1997-09-25,1998-01-01,COLLECT COD,AIR,instruction
4419169,75280,5281,1,7.00,8786.96,0.02,0.00,N,O,1997-12-25,1997-12-22,1998-01-01,TAKE BACK RETURN,FOB,r the slyly pending Tiresias
567332,144562,9591,2,49.00,78721.44,0.00,0.01,N,O,1997-12-13,1998-01-03,1998-01-01,COLLECT COD,AIR,es wake slyly regular theodolites. carefull
4661059,2825,7826,2,16.00,27645.12,0.01,0.00,N,O,1997-12-15,1997-12-22,1998-01-01,TAKE BACK RETURN,MAIL,ts detect 
2557766,122430,9967,3,36.00,52287.48,0.10,0.05,N,O,1997-12-12,1997-12-24,1998-01-01,TAKE BACK RETURN,RAIL,"ress, final accounts. quickly special dol"
2059618,174602,2154,1,18.00,30178.80,0.06,0.03,N,O,1997-12-29,1997-12-27,1998-01-01,DELIVER IN PERSON,TRUCK,oxes haggle carefully 
1905826,151476,6507,1,40.00,61098.80,0.03,0.05,N,O,1997-12-22,1997-10-09,1998-01-01,DELIVER IN PERSON,MAIL,st slyly deposits
4187205,108455,8456,3,23.00,33659.35,0.07,0.00,N,O,1997-12-19,1997-11-01,1998-01-01,DELIVER IN PERSON,FOB,terns cajole a
5926977,141344,1345,3,23.00,31862.82,0.09,0.01,N,O,1997-12-18,1997-12-12,1998-01-01,NONE,AIR,s. carefully 
3322180,93282,5792,3,36.00,45910.08,0.00,0.06,N,O,1997-12-12,1997-10-07,1998-01-01,NONE,AIR,kly about the quiet accounts. unusual
958209,48373,8374,3,47.00,62104.39,0.10,0.04,N,O,1997-12-15,1998-01-09,1998-01-01,TAKE BACK RETURN,FOB,uriously final instructions haggle. doggedl
41733,96371,6372,2,1.00,1367.37,0.01,0.08,N,O,1997-12-24,1998-01-18,1998-01-01,DELIVER IN PERSON,REG AIR,nic accounts above the blithely s
2111174,93386,5896,1,42.00,57933.96,0.07,0.04,N,O,1997-12-18,1997-10-26,1998-01-01,TAKE BACK RETURN,SHIP,ar accounts use blithely slyl
4856993,151973,7004,1,15.00,30374.55,0.01,0.08,N,O,1997-12-08,1998-02-26,1998-01-01,TAKE BACK RETURN,FOB, final deposits haggle furiously
4774375,182448,7485,2,42.00,64278.48,0.02,0.03,N,O,1997-12-29,1998-02-02,1998-01-01,NONE,AIR,ages cajole carefully regular i
5805188,156728,1759,6,30.00,53541.60,0.08,0.07,N,O,1997-12-17,1997-11-09,1998-01-01,TAKE BACK RETURN,TRUCK, nod after the regular
5749410,83288,3289,1,27.00,34324.56,0.06,0.06,N,O,1997-12-03,1998-01-29,1998-01-01,NONE,AIR,press platelets hang quickly against the fu
4377954,144534,9563,5,21.00,33149.13,0.10,0.08,N,O,1997-12-09,1997-12-29,1998-01-01,DELIVER IN PERSON,RAIL, even requests use furiously sly
5270243,50752,8268,1,37.00,63001.75,0.04,0.06,N,O,1997-12-17,1997-10-30,1998-01-01,NONE,AIR,ress requests haggle furiously after t
2810082,100601,3112,5,14.00,22422.40,0.10,0.05,N,O,1997-12-12,1997-12-01,1998-01-01,NONE,MAIL,ly pending pinto beans along the furiou
4000896,102142,7163,1,38.00,43477.32,0.05,0.04,N,O,1997-12-13,1997-11-01,1998-01-01,DELIVER IN PERSON,SHIP,c ideas. platel
3275780,2127,2128,2,10.00,10291.20,0.08,0.01,N,O,1997-12-16,1997-09-24,1998-01-01,NONE,FOB,"ss the regular, regular deposits detect b"
159875,33264,8271,1,23.00,27536.98,0.08,0.00,N,O,1997-12-16,1997-12-05,1998-01-01,DELIVER IN PERSON,TRUCK,ding dependencies. f
1834566,45734,743,4,2.00,3359.46,0.10,0.04,N,O,1997-12-25,1997-11-19,1998-01-01,COLLECT COD,MAIL,cuses. final deposits cajo
2259840,134976,2516,1,24.00,48263.28,0.08,0.06,N,O,1997-12-18,1997-10-27,1998-01-01,DELIVER IN PERSON,REG AIR,ve the furiously pending pl
3864579,174268,4269,1,40.00,53690.40,0.06,0.02,N,O,1997-12-09,1997-11-11,1998-01-01,NONE,AIR,ironic deposits. fluffily sly deposits 
3413862,50967,968,2,47.00,90144.12,0.10,0.02,N,O,1997-12-28,1997-11-18,1998-01-01,DELIVER IN PERSON,AIR,use furiously quickly even deposi
1861191,90398,5417,1,40.00,55535.60,0.05,0.06,N,O,1997-12-13,1997-12-11,1998-01-01,COLLECT COD,SHIP,posits; slow re
1418596,61215,8734,1,23.00,27052.83,0.10,0.08,N,O,1997-12-28,1998-01-01,1998-01-01,COLLECT COD,TRUCK,sly ironic accou
4552900,188628,6183,2,42.00,72098.04,0.08,0.05,N,O,1997-12-28,1997-12-31,1998-01-01,TAKE BACK RETURN,MAIL,y pending packages sleep furiously. furiou
802821,26537,4044,4,12.00,17562.36,0.02,0.04,N,O,1997-12-28,1997-12-09,1998-01-01,TAKE BACK RETURN,SHIP,ic multipliers. final deposits may are bli
300224,168180,5729,4,17.00,21219.06,0.05,0.07,N,O,1997-12-19,1997-12-25,1998-01-01,TAKE BACK RETURN,TRUCK,ts use quickly regular in
3220934,29306,4311,4,27.00,33353.10,0.07,0.04,N,O,1997-12-11,1998-01-25,1998-01-01,NONE,RAIL,s about th
3805701,187224,2261,2,19.00,24913.18,0.08,0.05,N,O,1997-12-30,1997-12-18,1998-01-01,TAKE BACK RETURN,RAIL,platelets boost fluffily. busily regula
3348582,8146,647,1,31.00,32678.34,0.02,0.01,N,O,1997-12-11,1997-11-27,1998-01-01,COLLECT COD,REG AIR,e furiousl
3721124,66630,6631,6,35.00,55882.05,0.02,0.05,N,O,1997-12-23,1998-01-09,1998-01-01,DELIVER IN PERSON,TRUCK,pecial foxes haggle car
1741958,152910,5426,4,21.00,41221.11,0.05,0.04,N,O,1997-12-11,1998-01-09,1998-01-01,NONE,SHIP,rays haggle blithely f
1401445,150863,5894,1,2.00,3827.72,0.00,0.04,N,O,1997-12-18,1998-02-27,1998-01-01,DELIVER IN PERSON,TRUCK,aintain atop the slyly even pin
1221536,110305,5328,7,12.00,15783.60,0.00,0.07,N,O,1997-12-25,1998-01-21,1998-01-01,DELIVER IN PERSON,AIR,pths. carefully regular deposits sleep f
1118149,9324,1825,2,7.00,8633.24,0.04,0.02,N,O,1997-12-14,1997-11-04,1998-01-01,COLLECT COD,FOB,y special sauternes integra
1327427,174186,6704,4,12.00,15122.16,0.10,0.01,N,O,1997-12-05,1997-12-15,1998-01-01,NONE,RAIL,al packages cajol
1612354,164575,9608,1,22.00,36070.54,0.04,0.06,N,O,1997-12-25,1998-01-25,1998-01-01,DELIVER IN PERSON,REG AIR,ctions maintain carefully across the 
1500800,65241,254,2,2.00,2412.48,0.10,0.04,N,O,1997-12-12,1997-12-01,1998-01-01,TAKE BACK RETURN,AIR,inst the slyly pending instruc
5066307,21927,9434,5,36.00,66561.12,0.07,0.04,N,O,1997-12-13,1997-10-22,1998-01-01,COLLECT COD,REG AIR,pecial accoun
2874370,145037,2580,4,29.00,31378.87,0.05,0.01,N,O,1997-12-30,1998-02-28,1998-01-01,DELIVER IN PERSON,TRUCK,ly regular excuses wake slyl
552193,189075,4112,3,13.00,15132.91,0.09,0.00,N,O,1997-12-19,1998-01-22,1998-01-01,NONE,AIR,lphins dazzle carefully. depo
4460386,146016,1045,6,21.00,22302.21,0.01,0.03,N,O,1997-12-07,1998-01-26,1998-01-01,DELIVER IN PERSON,MAIL,cajole quickly packages. blithel
2776833,2059,9560,6,11.00,10571.55,0.05,0.05,N,O,1997-12-14,1998-01-19,1998-01-01,TAKE BACK RETURN,FOB,ng to the carefully final platelets; bli
4580002,88449,5974,2,12.00,17249.28,0.08,0.05,N,O,1997-12-11,1997-11-19,1998-01-01,DELIVER IN PERSON,RAIL,above the slyly brave theodolite
5025476,183850,3851,3,40.00,77354.00,0.09,0.00,N,O,1997-12-20,1997-12-06,1998-01-01,COLLECT COD,AIR,s. special courts sleep quickly! final exc
3554148,18188,690,3,48.00,53096.64,0.02,0.07,N,O,1997-12-30,1997-10-28,1998-01-01,COLLECT COD,REG AIR, foxes. idly silent requests ca
1395111,28906,3911,5,16.00,29358.40,0.05,0.05,N,O,1997-12-28,1998-01-27,1998-01-01,NONE,SHIP, special requests use instead of the ex
4714368,124921,7434,1,29.00,56431.68,0.03,0.05,N,O,1997-12-16,1997-12-29,1998-01-01,NONE,SHIP,r foxes. deposits use abou
664579,122133,2134,5,6.00,6930.78,0.09,0.02,N,O,1997-12-12,1998-01-15,1998-01-01,NONE,SHIP,ast the carefully 
4367904,50272,273,2,25.00,30556.75,0.08,0.02,N,O,1997-12-08,1997-12-08,1998-01-01,COLLECT COD,TRUCK,fully silent 
1143298,181960,4479,2,31.00,63300.76,0.02,0.02,N,O,1997-12-17,1998-02-10,1998-01-01,COLLECT COD,FOB,ial deposits. specia
5397764,71785,1786,1,20.00,35135.60,0.09,0.08,N,O,1997-12-28,1997-12-14,1998-01-01,DELIVER IN PERSON,REG AIR,al deposits are never special acc
1374919,59278,6794,1,37.00,45778.99,0.08,0.04,N,O,1997-12-29,1997-12-12,1998-01-01,TAKE BACK RETURN,MAIL,s along th
285030,160448,2965,1,2.00,3016.88,0.04,0.00,N,O,1997-12-26,1997-12-13,1998-01-01,TAKE BACK RETURN,MAIL,"ons. express, regular depe"
5386944,180281,2800,1,21.00,28586.88,0.01,0.03,N,O,1997-12-06,1997-10-25,1998-01-01,NONE,AIR,nal requests integrate qu
4557634,196300,1339,2,24.00,33511.20,0.03,0.07,N,O,1997-12-18,1997-11-07,1998-01-01,NONE,FOB,y. pending deposits boost slyly. regular 
2137347,41068,8581,6,36.00,36326.16,0.00,0.01,N,O,1997-12-30,1997-12-27,1998-01-01,NONE,REG AIR,e according to the ideas; quickly ev
1036546,197902,5460,6,35.00,69996.50,0.05,0.04,N,O,1997-12-20,1997-12-17,1998-01-01,TAKE BACK RETURN,REG AIR,ending waters. 
2556421,85697,714,2,14.00,23557.66,0.03,0.03,N,O,1997-12-10,1997-10-20,1998-01-01,TAKE BACK RETURN,FOB,es. unusual accounts will have to 
5084294,103119,3120,1,33.00,37029.63,0.02,0.03,N,O,1997-12-15,1998-01-23,1998-01-01,TAKE BACK RETURN,MAIL,luffily along the re
308290,75060,7568,2,40.00,41402.40,0.05,0.07,N,O,1997-12-19,1997-11-02,1998-01-01,NONE,TRUCK,fully. even 
533792,34759,7263,1,28.00,47425.00,0.03,0.02,N,O,1997-12-12,1998-01-09,1998-01-01,TAKE BACK RETURN,MAIL,nto the slyly bold excuses wake
67873,10030,5033,2,2.00,1880.06,0.01,0.02,N,O,1997-12-20,1998-01-09,1998-01-01,NONE,MAIL,ial instructions nag carefully a
5946658,172951,503,2,1.00,2023.95,0.10,0.07,N,O,1997-12-25,1997-12-21,1998-01-01,NONE,AIR,sly. slyly even accounts aga
5464544,50040,5051,2,12.00,11880.48,0.10,0.07,N,O,1997-12-14,1998-01-01,1998-01-01,DELIVER IN PERSON,SHIP,ss the furiously quiet theodoli
3307748,128751,8752,2,19.00,33815.25,0.03,0.02,N,O,1997-12-26,1997-12-06,1998-01-01,TAKE BACK RETURN,TRUCK,ly unusual pearls haggle among the 
3567779,73419,5927,1,14.00,19493.74,0.08,0.01,N,O,1997-12-15,1998-02-04,1998-01-01,NONE,RAIL,", final theodolites promise d"
577700,44855,2368,1,31.00,55795.35,0.03,0.06,N,O,1997-12-24,1997-10-08,1998-01-01,TAKE BACK RETURN,FOB,"r, silent ins"
177218,195996,5997,3,10.00,20919.90,0.05,0.07,N,O,1997-12-25,1997-11-04,1998-01-01,NONE,FOB,nt dependencie
2118273,167795,7796,4,36.00,67060.44,0.01,0.05,N,O,1997-12-17,1998-01-29,1998-01-01,TAKE BACK RETURN,REG AIR,s. even packages s
4277284,134882,2422,2,23.00,44088.24,0.05,0.04,N,O,1997-12-27,1997-12-05,1998-01-01,COLLECT COD,AIR,"pecial, clos"
4861345,195790,5791,3,21.00,39601.59,0.03,0.04,N,O,1997-12-20,1998-01-17,1998-01-01,COLLECT COD,SHIP,ck theodolites. evenly spec
5021572,122033,2034,1,46.00,48531.38,0.00,0.06,N,O,1997-12-10,1998-01-14,1998-01-01,TAKE BACK RETURN,SHIP,promise fluffily above the silent de
1800292,173725,1277,6,12.00,21584.64,0.08,0.01,N,O,1997-12-16,1997-12-28,1998-01-01,DELIVER IN PERSON,MAIL,ans. blithely silent epitaphs mol
887559,160106,107,3,37.00,43145.70,0.09,0.05,N,O,1997-12-21,1998-01-04,1998-01-01,DELIVER IN PERSON,RAIL,ickly pending requests wake int
4840262,59693,7209,3,43.00,71065.67,0.05,0.05,N,O,1997-12-29,1998-01-03,1998-01-01,DELIVER IN PERSON,MAIL,fily final accounts
2199783,46658,6659,4,39.00,62581.35,0.01,0.05,N,O,1997-12-14,1998-02-08,1998-01-01,TAKE BACK RETURN,AIR,s. theodolite
834242,186702,9221,3,37.00,66181.90,0.10,0.06,N,O,1997-12-14,1997-10-17,1998-01-01,COLLECT COD,SHIP,ng requests. dinos boost
2174019,182955,2956,1,41.00,83555.95,0.09,0.08,N,O,1997-12-18,1997-12-07,1998-01-01,COLLECT COD,SHIP,the carefully close excu
3575716,4063,9064,3,26.00,25143.56,0.00,0.08,N,O,1997-12-10,1998-02-07,1998-01-01,NONE,MAIL,y above the r
5430183,127035,4572,3,50.00,53101.50,0.05,0.03,N,O,1997-12-08,1998-01-22,1998-01-01,TAKE BACK RETURN,TRUCK,yly unusual instructi
1805376,33355,8362,6,3.00,3865.05,0.08,0.06,N,O,1997-12-13,1997-11-02,1998-01-01,NONE,MAIL,ainst the carefully bold excuses. sl
5451040,125100,7613,3,27.00,30377.70,0.03,0.07,N,O,1997-12-28,1997-12-02,1998-01-01,DELIVER IN PERSON,MAIL,d foxes. qu
5353509,38500,6010,4,30.00,43155.00,0.03,0.07,N,O,1997-12-31,1997-12-15,1998-01-01,DELIVER IN PERSON,REG AIR,"ending, express excuses are across the c"
3762148,151347,3863,3,26.00,36356.84,0.08,0.00,N,O,1997-12-29,1997-10-19,1998-01-01,TAKE BACK RETURN,RAIL,platelets. inst
4530694,95980,8490,3,4.00,7903.92,0.09,0.04,N,O,1997-12-06,1997-10-27,1998-01-01,NONE,MAIL,s after the ironic foxes snooze a
2732421,48467,5980,4,24.00,33971.04,0.09,0.04,N,O,1997-12-19,1998-01-25,1998-01-01,COLLECT COD,SHIP,cies haggle at the regular pinto be
2846497,175920,3472,2,42.00,83828.64,0.05,0.08,N,O,1997-12-02,1998-02-09,1998-01-01,TAKE BACK RETURN,AIR,eposits. deposits are alongs
2757028,145402,2945,1,34.00,49211.60,0.08,0.04,N,O,1997-12-08,1997-10-31,1998-01-01,COLLECT COD,SHIP,"ely final foxes cajole ironic, ironic r"
2977186,110016,7550,1,22.00,22572.22,0.08,0.06,N,O,1997-12-08,1997-10-09,1998-01-01,TAKE BACK RETURN,SHIP,lly above the blithel
2537797,181872,1873,3,30.00,58616.10,0.01,0.08,N,O,1997-12-26,1998-01-15,1998-01-01,NONE,REG AIR,g the blithely 
3367746,106307,3838,4,12.00,15759.60,0.01,0.07,N,O,1997-12-24,1997-12-02,1998-01-01,TAKE BACK RETURN,AIR,ly pearls. s
1782822,184470,4471,2,44.00,68396.68,0.06,0.04,N,O,1997-12-13,1997-12-10,1998-01-01,TAKE BACK RETURN,AIR,ly beyond the fluffily ironi
3291779,102251,9782,7,15.00,18798.75,0.04,0.04,N,O,1997-12-04,1998-01-17,1998-01-01,COLLECT COD,FOB,ely pending platelets. fluffily reg
4119367,107512,2533,2,32.00,48624.32,0.04,0.01,N,O,1997-12-16,1997-12-18,1998-01-01,TAKE BACK RETURN,MAIL,ggle along the furiousl
2044166,4651,9652,1,11.00,17112.15,0.06,0.08,N,O,1997-12-26,1997-09-26,1998-01-01,TAKE BACK RETURN,FOB,ckly along the ironi
3065440,78215,5737,3,10.00,11932.10,0.00,0.07,N,O,1997-12-06,1997-12-15,1998-01-01,COLLECT COD,AIR,egular asymptotes breach quickly blit
4249667,128432,945,5,34.00,49654.62,0.08,0.08,N,O,1997-12-17,1997-12-01,1998-01-01,TAKE BACK RETURN,TRUCK,"ful, express requests after the fu"
3051010,114981,7493,1,18.00,35927.64,0.01,0.02,N,O,1997-12-20,1998-02-08,1998-01-01,COLLECT COD,REG AIR, to the pinto beans. quickly ironic 
3477121,122801,2802,4,7.00,12766.60,0.00,0.05,N,O,1997-12-19,1998-01-23,1998-01-01,NONE,RAIL,ithely unusual deposits a
4186274,40035,5044,5,1.00,975.03,0.09,0.06,N,O,1997-12-28,1998-01-21,1998-01-01,NONE,TRUCK,ole quickly ironic deco
1151940,192047,7086,1,43.00,48978.72,0.09,0.05,N,O,1997-12-31,1998-01-15,1998-01-01,COLLECT COD,AIR,ns print carefully ironically
4129668,115097,2631,3,13.00,14457.17,0.01,0.03,N,O,1997-12-28,1997-11-30,1998-01-01,COLLECT COD,REG AIR,"in, final deposit"
1364967,102832,5343,1,32.00,58714.56,0.04,0.04,N,O,1997-12-15,1997-12-11,1998-01-01,NONE,SHIP,ans beneath t
1814816,73609,8624,1,50.00,79130.00,0.03,0.04,N,O,1997-12-07,1997-10-22,1998-01-01,TAKE BACK RETURN,TRUCK,refully along the pinto beans. permanent
1349570,199882,7440,1,45.00,89184.60,0.00,0.03,N,O,1997-12-31,1997-11-28,1998-01-01,DELIVER IN PERSON,TRUCK,ld deposits are clo
3370050,82463,2464,2,1.00,1445.46,0.08,0.05,N,O,1997-12-04,1998-01-20,1998-01-01,DELIVER IN PERSON,FOB,ronic instructions. bold id
2254532,137941,455,5,3.00,5936.82,0.02,0.08,N,O,1997-12-29,1997-12-19,1998-01-01,TAKE BACK RETURN,AIR, the quickly furious instructions. furio
1471718,87458,2475,5,44.00,63599.80,0.03,0.06,N,O,1997-12-05,1997-11-22,1998-01-01,NONE,MAIL,ake carefully instructions. slyly unus
1709382,177085,9603,1,46.00,53455.68,0.00,0.05,N,O,1997-12-05,1997-12-21,1998-01-01,COLLECT COD,MAIL,counts sleep blithely around the furiou
175527,182250,2251,1,49.00,65280.25,0.01,0.06,N,O,1997-12-05,1997-11-30,1998-01-01,COLLECT COD,REG AIR," ironic excuses are regular, even e"
5705410,130927,928,3,18.00,35242.56,0.07,0.00,N,O,1997-12-05,1997-10-14,1998-01-01,TAKE BACK RETURN,RAIL, ironic depths. furiously regular packa
3117062,40789,3294,2,1.00,1729.78,0.05,0.01,N,O,1997-12-29,1997-12-13,1998-01-01,COLLECT COD,TRUCK,onic requests affix
4808388,47591,5104,3,37.00,56927.83,0.02,0.04,N,O,1997-12-29,1998-01-30,1998-01-01,COLLECT COD,SHIP,ake furiously ironic instructions
1375392,126437,1462,3,9.00,13170.87,0.07,0.04,N,O,1997-12-14,1997-12-19,1998-01-01,TAKE BACK RETURN,RAIL, beans affix sl
5575266,24111,6614,1,32.00,33123.52,0.02,0.03,N,O,1997-12-28,1997-12-06,1998-01-01,COLLECT COD,TRUCK,"uests are across the even, express pla"
4604644,94165,1693,1,48.00,55639.68,0.10,0.07,N,O,1997-12-14,1997-10-28,1998-01-01,NONE,FOB,beans. slyly ir
303553,100951,3462,1,31.00,60510.45,0.09,0.05,N,O,1997-12-02,1997-11-17,1998-01-01,NONE,MAIL,final asymptotes. furiously pe
3903014,91597,1598,1,36.00,57189.24,0.06,0.05,N,O,1997-12-22,1998-01-07,1998-01-01,COLLECT COD,TRUCK,"s detect along the pending, ironic pint"
